"season","age","total"
"1950","20",3
"1950","21",11
"1950","22",26
"1950","23",15
"1950","24",48
"1950","25",30
"1950","26",37
"1950","27",49
"1950","28",32
"1950","29",27
"1950","30",10
"1950","31",6
"1950","32",9
"1950","33",4
"1950","34",3
"1950","35",1
"1950","36",1
"1951","22",20
"1951","23",20
"1951","24",12
"1951","25",24
"1951","26",16
"1951","27",15
"1951","28",25
"1951","29",16
"1951","30",11
"1951","31",3
"1951","32",8
"1951","33",4
"1952","21",1
"1952","22",7
"1952","23",21
"1952","24",11
"1952","25",14
"1952","26",24
"1952","27",16
"1952","28",6
"1952","29",14
"1952","30",9
"1952","31",3
"1952","32",1
"1952","33",2
"1952","34",1
"1953","21",6
"1953","22",17
"1953","23",13
"1953","24",24
"1953","25",18
"1953","26",9
"1953","27",21
"1953","28",13
"1953","29",11
"1953","30",18
"1953","31",4
"1953","32",3
"1953","33",1
"1953","35",1
"1954","19",1
"1954","21",3
"1954","22",12
"1954","23",15
"1954","24",14
"1954","25",25
"1954","26",17
"1954","27",9
"1954","28",14
"1954","29",5
"1954","30",3
"1954","31",7
"1954","32",2
"1954","33",1
"1954","34",1
"1954","38",1
"1955","21",1
"1955","22",12
"1955","23",8
"1955","24",18
"1955","25",14
"1955","26",20
"1955","27",9
"1955","28",4
"1955","29",7
"1955","30",3
"1955","31",4
"1955","32",6
"1955","33",1
"1955","35",1
"1956","20",1
"1956","21",1
"1956","22",16
"1956","23",17
"1956","24",8
"1956","25",8
"1956","26",7
"1956","27",16
"1956","28",6
"1956","29",6
"1956","30",5
"1956","31",5
"1956","32",3
"1956","33",2
"1956","34",1
"1957","21",1
"1957","22",14
"1957","23",13
"1957","24",17
"1957","25",8
"1957","26",9
"1957","27",9
"1957","28",13
"1957","29",7
"1957","30",3
"1957","31",5
"1957","32",2
"1957","33",2
"1957","34",2
"1957","35",1
"1958","22",9
"1958","23",13
"1958","24",13
"1958","25",20
"1958","26",12
"1958","27",14
"1958","28",4
"1958","29",13
"1958","30",5
"1958","31",2
"1958","32",2
"1958","33",2
"1958","35",2
"1959","21",2
"1959","22",11
"1959","23",10
"1959","24",12
"1959","25",21
"1959","26",16
"1959","27",6
"1959","28",6
"1959","29",6
"1959","30",14
"1959","31",3
"1959","32",1
"1959","33",2
"1960","21",1
"1960","22",11
"1960","23",16
"1960","24",11
"1960","25",15
"1960","26",16
"1960","27",18
"1960","28",6
"1960","29",7
"1960","30",2
"1960","31",8
"1960","32",3
"1960","33",1
"1960","34",2
"1961","22",15
"1961","23",8
"1961","24",18
"1961","25",5
"1961","26",9
"1961","27",16
"1961","28",12
"1961","29",8
"1961","30",4
"1961","31",2
"1961","32",5
"1961","33",1
"1961","34",1
"1962","22",11
"1962","23",33
"1962","24",14
"1962","25",17
"1962","26",8
"1962","27",9
"1962","28",8
"1962","29",10
"1962","30",5
"1962","31",3
"1962","32",2
"1962","33",4
"1962","34",1
"1963","21",1
"1963","22",19
"1963","23",16
"1963","24",17
"1963","25",12
"1963","26",17
"1963","27",9
"1963","28",13
"1963","29",9
"1963","30",10
"1963","31",4
"1963","32",3
"1963","33",1
"1963","34",2
"1964","21",1
"1964","22",7
"1964","23",29
"1964","24",17
"1964","25",18
"1964","26",11
"1964","27",21
"1964","28",3
"1964","29",6
"1964","30",5
"1964","31",9
"1964","32",4
"1964","33",2
"1964","34",1
"1964","35",1
"1965","21",1
"1965","22",20
"1965","23",15
"1965","24",18
"1965","25",15
"1965","26",16
"1965","27",10
"1965","28",19
"1965","29",1
"1965","30",5
"1965","31",4
"1965","32",6
"1965","33",2
"1966","21",2
"1966","22",11
"1966","23",16
"1966","24",22
"1966","25",16
"1966","26",12
"1966","27",16
"1966","28",9
"1966","29",14
"1966","30",1
"1966","31",5
"1966","32",5
"1966","33",5
"1966","34",1
"1967","21",1
"1967","22",18
"1967","23",17
"1967","24",17
"1967","25",16
"1967","26",16
"1967","27",8
"1967","28",13
"1967","29",8
"1967","30",11
"1967","31",1
"1967","32",2
"1967","33",2
"1967","34",2
"1967","35",1
"1968","21",1
"1968","22",12
"1968","23",34
"1968","24",28
"1968","25",18
"1968","26",20
"1968","27",14
"1968","28",10
"1968","29",11
"1968","30",7
"1968","31",12
"1968","32",3
"1968","33",2
"1968","34",4
"1968","36",1
"1969","22",26
"1969","23",23
"1969","24",26
"1969","25",26
"1969","26",24
"1969","27",22
"1969","28",15
"1969","29",10
"1969","30",11
"1969","31",8
"1969","32",9
"1969","33",1
"1969","34",2
"1969","35",2
"1969","36",1
"1970","21",3
"1970","22",15
"1970","23",31
"1970","24",17
"1970","25",30
"1970","26",22
"1970","27",16
"1970","28",15
"1970","29",14
"1970","30",9
"1970","31",10
"1970","32",4
"1970","33",10
"1970","34",1
"1970","35",1
"1970","36",1
"1970","37",1
"1970","41",1
"1971","21",2
"1971","22",37
"1971","23",27
"1971","24",34
"1971","25",20
"1971","26",29
"1971","27",20
"1971","28",16
"1971","29",17
"1971","30",12
"1971","31",7
"1971","32",11
"1971","33",2
"1971","34",9
"1971","36",1
"1971","37",1
"1972","21",3
"1972","22",22
"1972","23",51
"1972","24",29
"1972","25",31
"1972","26",20
"1972","27",24
"1972","28",19
"1972","29",14
"1972","30",16
"1972","31",11
"1972","32",9
"1972","33",10
"1972","34",1
"1972","35",3
"1972","37",1
"1972","38",1
"1973","21",2
"1973","22",25
"1973","23",33
"1973","24",52
"1973","25",26
"1973","26",20
"1973","27",16
"1973","28",31
"1973","29",13
"1973","30",13
"1973","31",12
"1973","32",10
"1973","33",6
"1973","34",5
"1973","35",1
"1973","36",3
"1973","39",1
"1974","21",1
"1974","22",23
"1974","23",35
"1974","24",25
"1974","25",38
"1974","26",22
"1974","27",20
"1974","28",12
"1974","29",25
"1974","30",11
"1974","31",13
"1974","32",6
"1974","33",6
"1974","34",3
"1974","35",3
"1974","36",1
"1974","37",1
"1975","19",1
"1975","20",1
"1975","21",4
"1975","22",19
"1975","23",35
"1975","24",38
"1975","25",25
"1975","26",37
"1975","27",21
"1975","28",20
"1975","29",9
"1975","30",26
"1975","31",16
"1975","32",8
"1975","33",5
"1975","34",4
"1975","35",5
"1975","36",1
"1975","37",1
"1976","18",1
"1976","19",1
"1976","20",2
"1976","21",5
"1976","22",30
"1976","23",24
"1976","24",35
"1976","25",34
"1976","26",17
"1976","27",34
"1976","28",23
"1976","29",8
"1976","30",10
"1976","31",21
"1976","32",12
"1976","33",9
"1976","34",5
"1976","35",3
"1977","19",1
"1977","20",3
"1977","21",12
"1977","22",26
"1977","23",52
"1977","24",39
"1977","25",49
"1977","26",41
"1977","27",35
"1977","28",30
"1977","29",17
"1977","30",16
"1977","31",9
"1977","32",12
"1977","33",8
"1977","34",5
"1977","35",1
"1977","36",1
"1978","20",1
"1978","21",8
"1978","22",40
"1978","23",45
"1978","24",42
"1978","25",45
"1978","26",46
"1978","27",36
"1978","28",31
"1978","29",31
"1978","30",17
"1978","31",17
"1978","32",5
"1978","33",6
"1978","34",3
"1978","37",1
"1979","21",3
"1979","22",41
"1979","23",62
"1979","24",42
"1979","25",31
"1979","26",32
"1979","27",35
"1979","28",24
"1979","29",23
"1979","30",25
"1979","31",8
"1979","32",8
"1979","33",3
"1979","34",5
"1979","35",2
"1980","19",1
"1980","20",1
"1980","22",29
"1980","23",55
"1980","24",57
"1980","25",28
"1980","26",37
"1980","27",34
"1980","28",30
"1980","29",20
"1980","30",18
"1980","31",24
"1980","32",8
"1980","33",9
"1980","34",3
"1980","35",2
"1980","36",1
"1981","20",1
"1981","21",6
"1981","22",41
"1981","23",53
"1981","24",49
"1981","25",49
"1981","26",33
"1981","27",27
"1981","28",30
"1981","29",20
"1981","30",12
"1981","31",13
"1981","32",20
"1981","33",5
"1981","34",3
"1981","35",1
"1982","20",1
"1982","21",4
"1982","22",36
"1982","23",54
"1982","24",47
"1982","25",52
"1982","26",53
"1982","27",23
"1982","28",20
"1982","29",22
"1982","30",21
"1982","31",8
"1982","32",9
"1982","33",18
"1982","34",4
"1982","36",1
"1983","21",9
"1983","22",41
"1983","23",50
"1983","24",46
"1983","25",41
"1983","26",52
"1983","27",42
"1983","28",18
"1983","29",21
"1983","30",25
"1983","31",11
"1983","32",9
"1983","33",5
"1983","34",16
"1983","35",4
"1983","37",1
"1984","21",2
"1984","22",32
"1984","23",46
"1984","24",58
"1984","25",37
"1984","26",31
"1984","27",34
"1984","28",33
"1984","29",17
"1984","30",16
"1984","31",10
"1984","32",5
"1984","33",6
"1984","34",6
"1984","35",8
"1984","36",1
"1984","38",1
"1985","21",4
"1985","22",31
"1985","23",35
"1985","24",60
"1985","25",55
"1985","26",36
"1985","27",26
"1985","28",33
"1985","29",31
"1985","30",13
"1985","31",13
"1985","32",10
"1985","33",5
"1985","34",4
"1985","35",1
"1985","36",4
"1985","37",1
"1986","20",1
"1986","21",5
"1986","22",25
"1986","23",53
"1986","24",34
"1986","25",39
"1986","26",55
"1986","27",41
"1986","28",25
"1986","29",30
"1986","30",35
"1986","31",13
"1986","32",9
"1986","33",7
"1986","34",2
"1986","35",2
"1986","36",1
"1986","37",1
"1986","38",1
"1987","20",1
"1987","21",6
"1987","22",26
"1987","23",48
"1987","24",55
"1987","25",38
"1987","26",38
"1987","27",46
"1987","28",27
"1987","29",23
"1987","30",23
"1987","31",22
"1987","32",10
"1987","33",7
"1987","34",4
"1987","36",2
"1987","37",1
"1987","39",1
"1988","21",6
"1988","22",29
"1988","23",49
"1988","24",49
"1988","25",56
"1988","26",40
"1988","27",44
"1988","28",37
"1988","29",35
"1988","30",23
"1988","31",25
"1988","32",16
"1988","33",6
"1988","34",4
"1988","35",1
"1988","36",1
"1988","37",1
"1988","38",3
"1988","40",1
"1989","21",3
"1989","22",35
"1989","23",42
"1989","24",58
"1989","25",49
"1989","26",44
"1989","27",37
"1989","28",37
"1989","29",40
"1989","30",25
"1989","31",18
"1989","32",27
"1989","33",10
"1989","34",8
"1989","35",3
"1989","38",1
"1989","41",1
"1990","20",1
"1990","21",5
"1990","22",31
"1990","23",55
"1990","24",49
"1990","25",48
"1990","26",63
"1990","27",45
"1990","28",27
"1990","29",28
"1990","30",31
"1990","31",19
"1990","32",17
"1990","33",19
"1990","34",12
"1990","35",5
"1990","36",3
"1990","39",1
"1991","21",5
"1991","22",34
"1991","23",51
"1991","24",46
"1991","25",44
"1991","26",54
"1991","27",43
"1991","28",35
"1991","29",23
"1991","30",26
"1991","31",28
"1991","32",14
"1991","33",12
"1991","34",11
"1991","35",8
"1991","36",5
"1991","37",2
"1992","21",4
"1992","22",32
"1992","23",56
"1992","24",57
"1992","25",57
"1992","26",43
"1992","27",39
"1992","28",32
"1992","29",36
"1992","30",23
"1992","31",27
"1992","32",19
"1992","33",10
"1992","34",8
"1992","35",5
"1992","36",7
"1992","37",2
"1992","38",1
"1993","20",1
"1993","21",2
"1993","22",31
"1993","23",50
"1993","24",55
"1993","25",43
"1993","26",46
"1993","27",39
"1993","28",36
"1993","29",27
"1993","30",37
"1993","31",24
"1993","32",17
"1993","33",17
"1993","34",11
"1993","35",6
"1993","36",3
"1993","37",3
"1993","39",1
"1994","20",1
"1994","21",3
"1994","22",21
"1994","23",55
"1994","24",70
"1994","25",52
"1994","26",43
"1994","27",41
"1994","28",40
"1994","29",26
"1994","30",35
"1994","31",25
"1994","32",23
"1994","33",8
"1994","34",23
"1994","35",7
"1994","36",4
"1994","38",3
"1994","40",1
"1995","20",1
"1995","21",7
"1995","22",25
"1995","23",32
"1995","24",50
"1995","25",51
"1995","26",49
"1995","27",39
"1995","28",38
"1995","29",36
"1995","30",27
"1995","31",25
"1995","32",29
"1995","33",19
"1995","34",6
"1995","35",7
"1995","36",4
"1995","37",3
"1995","39",3
"1995","41",1
"1996","19",1
"1996","20",3
"1996","21",6
"1996","22",29
"1996","23",47
"1996","24",36
"1996","25",75
"1996","26",55
"1996","27",52
"1996","28",41
"1996","29",41
"1996","30",37
"1996","31",38
"1996","32",30
"1996","33",20
"1996","34",15
"1996","35",4
"1996","36",5
"1996","37",7
"1996","38",1
"1996","40",1
"1996","42",1
"1997","18",2
"1997","19",1
"1997","20",4
"1997","21",8
"1997","22",26
"1997","23",50
"1997","24",74
"1997","25",40
"1997","26",71
"1997","27",50
"1997","28",40
"1997","29",38
"1997","30",42
"1997","31",34
"1997","32",21
"1997","33",24
"1997","34",12
"1997","35",16
"1997","36",4
"1997","37",10
"1997","38",3
"1997","39",2
"1997","40",1
"1997","43",1
"1998","18",1
"1998","19",2
"1998","20",3
"1998","21",15
"1998","22",34
"1998","23",45
"1998","24",64
"1998","25",43
"1998","26",35
"1998","27",57
"1998","28",43
"1998","29",43
"1998","30",29
"1998","31",29
"1998","32",32
"1998","33",15
"1998","34",25
"1998","35",12
"1998","36",9
"1998","37",3
"1998","38",4
"1998","39",3
"1998","40",1
"1999","18",2
"1999","19",3
"1999","20",7
"1999","21",14
"1999","22",30
"1999","23",52
"1999","24",42
"1999","25",47
"1999","26",32
"1999","27",33
"1999","28",42
"1999","29",39
"1999","30",44
"1999","31",29
"1999","32",22
"1999","33",22
"1999","34",8
"1999","35",16
"1999","36",9
"1999","37",7
"1999","38",2
"1999","39",3
"1999","40",2
"2000","19",3
"2000","20",10
"2000","21",12
"2000","22",22
"2000","23",54
"2000","24",48
"2000","25",42
"2000","26",44
"2000","27",34
"2000","28",27
"2000","29",33
"2000","30",29
"2000","31",36
"2000","32",25
"2000","33",18
"2000","34",20
"2000","35",8
"2000","36",13
"2000","37",8
"2000","38",6
"2000","39",4
"2001","19",3
"2001","20",10
"2001","21",18
"2001","22",25
"2001","23",39
"2001","24",45
"2001","25",55
"2001","26",32
"2001","27",50
"2001","28",33
"2001","29",33
"2001","30",35
"2001","31",33
"2001","32",36
"2001","33",25
"2001","34",20
"2001","35",20
"2001","36",4
"2001","37",10
"2001","38",10
"2001","39",1
"2002","19",6
"2002","20",17
"2002","21",22
"2002","22",43
"2002","23",38
"2002","24",30
"2002","25",51
"2002","26",47
"2002","27",30
"2002","28",31
"2002","29",29
"2002","30",25
"2002","31",29
"2002","32",19
"2002","33",22
"2002","34",20
"2002","35",16
"2002","36",14
"2002","37",1
"2002","38",6
"2002","39",4
"2003","19",3
"2003","20",9
"2003","21",26
"2003","22",38
"2003","23",45
"2003","24",42
"2003","25",36
"2003","26",43
"2003","27",52
"2003","28",22
"2003","29",27
"2003","30",24
"2003","31",22
"2003","32",24
"2003","33",14
"2003","34",24
"2003","35",5
"2003","36",9
"2003","37",12
"2003","38",1
"2003","39",3
"2003","40",2
"2004","18",2
"2004","19",7
"2004","20",5
"2004","21",16
"2004","22",33
"2004","23",73
"2004","24",51
"2004","25",44
"2004","26",46
"2004","27",53
"2004","28",54
"2004","29",31
"2004","30",36
"2004","31",28
"2004","32",25
"2004","33",25
"2004","34",18
"2004","35",19
"2004","36",5
"2004","37",5
"2004","38",5
"2004","39",1
"2004","40",2
"2004","41",1
"2005","18",1
"2005","19",17
"2005","20",10
"2005","21",15
"2005","22",30
"2005","23",46
"2005","24",71
"2005","25",51
"2005","26",48
"2005","27",36
"2005","28",53
"2005","29",42
"2005","30",24
"2005","31",32
"2005","32",19
"2005","33",25
"2005","34",25
"2005","35",16
"2005","36",14
"2005","37",3
"2005","38",5
"2005","39",1
"2005","42",1
"2006","18",4
"2006","19",6
"2006","20",27
"2006","21",19
"2006","22",36
"2006","23",55
"2006","24",41
"2006","25",64
"2006","26",50
"2006","27",37
"2006","28",35
"2006","29",36
"2006","30",48
"2006","31",26
"2006","32",24
"2006","33",18
"2006","34",13
"2006","35",10
"2006","36",4
"2006","37",7
"2006","38",1
"2006","39",2
"2007","19",5
"2007","20",15
"2007","21",27
"2007","22",47
"2007","23",50
"2007","24",55
"2007","25",35
"2007","26",49
"2007","27",39
"2007","28",35
"2007","29",21
"2007","30",40
"2007","31",33
"2007","32",19
"2007","33",14
"2007","34",10
"2007","35",8
"2007","36",6
"2007","37",3
"2007","38",2
"2007","40",2
"2007","44",1
"2008","19",3
"2008","20",13
"2008","21",32
"2008","22",50
"2008","23",59
"2008","24",49
"2008","25",40
"2008","26",40
"2008","27",52
"2008","28",43
"2008","29",47
"2008","30",33
"2008","31",31
"2008","32",35
"2008","33",23
"2008","34",20
"2008","35",8
"2008","36",7
"2008","37",4
"2008","38",4
"2008","39",1
"2008","41",1
"2009","19",2
"2009","20",19
"2009","21",20
"2009","22",46
"2009","23",60
"2009","24",73
"2009","25",43
"2009","26",40
"2009","27",35
"2009","28",55
"2009","29",31
"2009","30",38
"2009","31",22
"2009","32",31
"2009","33",37
"2009","34",14
"2009","35",8
"2009","36",4
"2009","37",2
"2009","38",1
"2009","42",1
"2010","19",1
"2010","20",10
"2010","21",26
"2010","22",45
"2010","23",56
"2010","24",63
"2010","25",64
"2010","26",47
"2010","27",36
"2010","28",37
"2010","29",46
"2010","30",35
"2010","31",33
"2010","32",13
"2010","33",27
"2010","34",15
"2010","35",11
"2010","36",8
"2010","37",4
"2010","39",1
"2011","19",4
"2011","20",9
"2011","21",27
"2011","22",52
"2011","23",65
"2011","24",71
"2011","25",44
"2011","26",66
"2011","27",49
"2011","28",39
"2011","29",29
"2011","30",47
"2011","31",31
"2011","32",31
"2011","33",14
"2011","34",19
"2011","35",16
"2011","36",6
"2011","37",3
"2011","38",3
"2012","19",4
"2012","20",10
"2012","21",26
"2012","22",45
"2012","23",59
"2012","24",62
"2012","25",55
"2012","26",53
"2012","27",39
"2012","28",22
"2012","29",41
"2012","30",20
"2012","31",40
"2012","32",18
"2012","33",18
"2012","34",6
"2012","35",14
"2012","36",6
"2012","37",9
"2012","38",2
"2012","39",2
"2013","19",7
"2013","20",14
"2013","21",30
"2013","22",43
"2013","23",53
"2013","24",70
"2013","25",56
"2013","26",46
"2013","27",58
"2013","28",33
"2013","29",18
"2013","30",35
"2013","31",24
"2013","32",34
"2013","33",15
"2013","34",12
"2013","35",6
"2013","36",6
"2013","37",2
"2013","38",7
"2013","39",2
"2013","40",2
"2014","19",2
"2014","20",20
"2014","21",23
"2014","22",47
"2014","23",69
"2014","24",61
"2014","25",68
"2014","26",57
"2014","27",51
"2014","28",48
"2014","29",37
"2014","30",21
"2014","31",27
"2014","32",16
"2014","33",26
"2014","34",10
"2014","35",10
"2014","36",6
"2014","37",8
"2014","38",2
"2014","39",2
"2015","19",8
"2015","20",14
