"season","total","height"
"1950",0,159
"1950",0,162
"1950",0,165
"1950",0,168
"1950",0,171
"1950",3,174
"1950",10,177
"1950",19,180
"1950",42,183
"1950",43,186
"1950",47,189
"1950",29,192
"1950",43,195
"1950",15,198
"1950",37,201
"1950",14,204
"1950",10,207
"1950",0,210
"1950",0,213
"1950",0,216
"1950",0,219
"1950",0,222
"1950",0,225
"1950",0,228
"1950",0,231
"1951",0,159
"1951",0,162
"1951",0,165
"1951",0,168
"1951",0,171
"1951",0,174
"1951",8,177
"1951",6,180
"1951",22,183
"1951",23,186
"1951",22,189
"1951",13,192
"1951",26,195
"1951",13,198
"1951",20,201
"1951",12,204
"1951",9,207
"1951",0,210
"1951",0,213
"1951",0,216
"1951",0,219
"1951",0,222
"1951",0,225
"1951",0,228
"1951",0,231
"1952",0,159
"1952",0,162
"1952",0,165
"1952",0,168
"1952",0,171
"1952",1,174
"1952",4,177
"1952",5,180
"1952",18,183
"1952",14,186
"1952",14,189
"1952",12,192
"1952",21,195
"1952",11,198
"1952",19,201
"1952",5,204
"1952",4,207
"1952",2,210
"1952",0,213
"1952",0,216
"1952",0,219
"1952",0,222
"1952",0,225
"1952",0,228
"1952",0,231
"1953",0,159
"1953",0,162
"1953",0,165
"1953",0,168
"1953",0,171
"1953",4,174
"1953",7,177
"1953",5,180
"1953",28,183
"1953",23,186
"1953",10,189
"1953",12,192
"1953",18,195
"1953",11,198
"1953",29,201
"1953",10,204
"1953",2,207
"1953",1,210
"1953",0,213
"1953",0,216
"1953",0,219
"1953",0,222
"1953",0,225
"1953",0,228
"1953",0,231
"1954",0,159
"1954",0,162
"1954",0,165
"1954",0,168
"1954",0,171
"1954",0,174
"1954",7,177
"1954",4,180
"1954",13,183
"1954",18,186
"1954",10,189
"1954",7,192
"1954",22,195
"1954",10,198
"1954",28,201
"1954",5,204
"1954",1,207
"1954",6,210
"1954",0,213
"1954",0,216
"1954",0,219
"1954",0,222
"1954",0,225
"1954",0,228
"1954",0,231
"1955",0,159
"1955",0,162
"1955",0,165
"1955",0,168
"1955",0,171
"1955",0,174
"1955",2,177
"1955",2,180
"1955",14,183
"1955",17,186
"1955",11,189
"1955",9,192
"1955",14,195
"1955",8,198
"1955",22,201
"1955",7,204
"1955",0,207
"1955",3,210
"1955",0,213
"1955",0,216
"1955",0,219
"1955",0,222
"1955",0,225
"1955",0,228
"1955",0,231
"1956",0,159
"1956",0,162
"1956",0,165
"1956",0,168
"1956",0,171
"1956",0,174
"1956",1,177
"1956",1,180
"1956",11,183
"1956",9,186
"1956",15,189
"1956",7,192
"1956",15,195
"1956",8,198
"1956",27,201
"1956",8,204
"1956",1,207
"1956",2,210
"1956",1,213
"1956",0,216
"1956",0,219
"1956",0,222
"1956",0,225
"1956",0,228
"1956",0,231
"1957",0,159
"1957",0,162
"1957",0,165
"1957",0,168
"1957",0,171
"1957",0,174
"1957",3,177
"1957",1,180
"1957",11,183
"1957",8,186
"1957",11,189
"1957",10,192
"1957",12,195
"1957",14,198
"1957",24,201
"1957",8,204
"1957",2,207
"1957",2,210
"1957",1,213
"1957",0,216
"1957",0,219
"1957",0,222
"1957",0,225
"1957",0,228
"1957",0,231
"1958",0,159
"1958",0,162
"1958",0,165
"1958",0,168
"1958",0,171
"1958",0,174
"1958",1,177
"1958",0,180
"1958",8,183
"1958",13,186
"1958",10,189
"1958",16,192
"1958",9,195
"1958",13,198
"1958",25,201
"1958",9,204
"1958",4,207
"1958",2,210
"1958",1,213
"1958",0,216
"1958",0,219
"1958",0,222
"1958",0,225
"1958",0,228
"1958",0,231
"1959",0,159
"1959",0,162
"1959",0,165
"1959",0,168
"1959",0,171
"1959",0,174
"1959",1,177
"1959",1,180
"1959",8,183
"1959",19,186
"1959",10,189
"1959",13,192
"1959",15,195
"1959",12,198
"1959",18,201
"1959",8,204
"1959",2,207
"1959",2,210
"1959",1,213
"1959",0,216
"1959",0,219
"1959",0,222
"1959",0,225
"1959",0,228
"1959",0,231
"1960",0,159
"1960",0,162
"1960",0,165
"1960",0,168
"1960",0,171
"1960",0,174
"1960",1,177
"1960",0,180
"1960",11,183
"1960",10,186
"1960",17,189
"1960",15,192
"1960",13,195
"1960",9,198
"1960",21,201
"1960",12,204
"1960",2,207
"1960",4,210
"1960",1,213
"1960",1,216
"1960",0,219
"1960",0,222
"1960",0,225
"1960",0,228
"1960",0,231
"1961",0,159
"1961",0,162
"1961",0,165
"1961",0,168
"1961",0,171
"1961",0,174
"1961",0,177
"1961",1,180
"1961",9,183
"1961",10,186
"1961",8,189
"1961",15,192
"1961",12,195
"1961",8,198
"1961",24,201
"1961",8,204
"1961",5,207
"1961",1,210
"1961",1,213
"1961",1,216
