"season","total","weight"
"1950",0,60
"1950",0,63
"1950",0,66
"1950",5,69
"1950",14,72
"1950",21,75
"1950",36,78
"1950",64,81
"1950",22,84
"1950",44,87
"1950",36,90
"1950",13,93
"1950",12,96
"1950",25,99
"1950",10,102
"1950",2,105
"1950",7,108
"1950",1,111
"1950",0,114
"1950",0,117
"1950",0,120
"1950",0,123
"1950",0,126
"1950",0,129
"1950",0,132
"1950",0,135
"1950",0,138
"1950",0,141
"1950",0,144
"1950",0,147
"1950",0,150
"1950",0,153
"1950",0,156
"1950",0,159
"1950",0,162
"1951",0,60
"1951",0,63
"1951",0,66
"1951",0,69
"1951",2,72
"1951",12,75
"1951",20,78
"1951",42,81
"1951",11,84
"1951",22,87
"1951",17,90
"1951",9,93
"1951",5,96
"1951",16,99
"1951",12,102
"1951",1,105
"1951",4,108
"1951",1,111
"1951",0,114
"1951",0,117
"1951",0,120
"1951",0,123
"1951",0,126
"1951",0,129
"1951",0,132
"1951",0,135
"1951",0,138
"1951",0,141
"1951",0,144
"1951",0,147
"1951",0,150
"1951",0,153
"1951",0,156
"1951",0,159
"1951",0,162
"1952",0,60
"1952",0,63
"1952",0,66
"1952",0,69
"1952",3,72
"1952",10,75
"1952",13,78
"1952",27,81
"1952",9,84
"1952",12,87
"1952",17,90
"1952",14,93
"1952",5,96
"1952",10,99
"1952",4,102
"1952",2,105
"1952",3,108
"1952",1,111
"1952",0,114
"1952",0,117
"1952",0,120
"1952",0,123
"1952",0,126
"1952",0,129
"1952",0,132
"1952",0,135
"1952",0,138
"1952",0,141
"1952",0,144
"1952",0,147
"1952",0,150
"1952",0,153
"1952",0,156
"1952",0,159
"1952",0,162
"1953",0,60
"1953",0,63
"1953",0,66
"1953",0,69
"1953",6,72
"1953",17,75
"1953",13,78
"1953",33,81
"1953",10,84
"1953",11,87
"1953",17,90
"1953",16,93
"1953",12,96
"1953",8,99
"1953",13,102
"1953",2,105
"1953",1,108
"1953",1,111
"1953",0,114
"1953",0,117
"1953",0,120
"1953",0,123
"1953",0,126
"1953",0,129
"1953",0,132
"1953",0,135
"1953",0,138
"1953",0,141
"1953",0,144
"1953",0,147
"1953",0,150
"1953",0,153
"1953",0,156
"1953",0,159
"1953",0,162
"1954",0,60
"1954",0,63
"1954",0,66
"1954",0,69
"1954",3,72
"1954",7,75
"1954",10,78
"1954",28,81
"1954",9,84
"1954",12,87
"1954",16,90
"1954",19,93
"1954",9,96
"1954",7,99
"1954",4,102
"1954",6,105
"1954",0,108
"1954",1,111
"1954",0,114
"1954",0,117
"1954",0,120
"1954",0,123
"1954",0,126
"1954",0,129
"1954",0,132
"1954",0,135
"1954",0,138
"1954",0,141
"1954",0,144
"1954",0,147
"1954",0,150
"1954",0,153
"1954",0,156
"1954",0,159
"1954",0,162
"1955",0,60
"1955",0,63
"1955",0,66
"1955",0,69
"1955",2,72
"1955",10,75
"1955",5,78
"1955",24,81
"1955",13,84
"1955",7,87
"1955",12,90
"1955",13,93
"1955",5,96
"1955",9,99
"1955",5,102
"1955",3,105
"1955",0,108
"1955",1,111
"1955",0,114
"1955",0,117
"1955",0,120
"1955",0,123
"1955",0,126
"1955",0,129
"1955",0,132
"1955",0,135
"1955",0,138
"1955",0,141
"1955",0,144
"1955",0,147
"1955",0,150
"1955",0,153
"1955",0,156
"1955",0,159
"1955",0,162
"1956",0,60
"1956",0,63
"1956",0,66
"1956",0,69
"1956",0,72
"1956",5,75
"1956",3,78
"1956",19,81
"1956",18,84
"1956",12,87
"1956",14,90
"1956",10,93
"1956",4,96
"1956",12,99
"1956",3,102
"1956",3,105
"1956",1,108
"1956",2,111
"1956",0,114
"1956",0,117
"1956",0,120
"1956",0,123
"1956",0,126
"1956",0,129
"1956",0,132
"1956",0,135
"1956",0,138
"1956",0,141
"1956",0,144
"1956",0,147
"1956",0,150
"1956",0,153
"1956",0,156
"1956",0,159
"1956",0,162
"1957",0,60
"1957",0,63
"1957",0,66
"1957",0,69
"1957",1,72
"1957",6,75
"1957",2,78
"1957",19,81
"1957",11,84
"1957",8,87
"1957",24,90
"1957",8,93
"1957",7,96
"1957",9,99
"1957",8,102
"1957",3,105
"1957",0,108
"1957",1,111
"1957",0,114
"1957",0,117
"1957",0,120
"1957",0,123
"1957",0,126
"1957",0,129
"1957",0,132
"1957",0,135
"1957",0,138
"1957",0,141
"1957",0,144
"1957",0,147
"1957",0,150
"1957",0,153
"1957",0,156
"1957",0,159
"1957",0,162
"1958",0,60
"1958",0,63
"1958",0,66
"1958",0,69
"1958",0,72
"1958",3,75
"1958",5,78
"1958",17,81
"1958",15,84
"1958",10,87
"1958",19,90
"1958",8,93
"1958",12,96
"1958",12,99
"1958",7,102
"1958",3,105
"1958",0,108
"1958",0,111
"1958",0,114
"1958",0,117
"1958",0,120
"1958",0,123
"1958",0,126
"1958",0,129
"1958",0,132
"1958",0,135
"1958",0,138
"1958",0,141
"1958",0,144
"1958",0,147
"1958",0,150
"1958",0,153
"1958",0,156
"1958",0,159
"1958",0,162
"1959",0,60
"1959",0,63
"1959",0,66
"1959",0,69
"1959",0,72
"1959",2,75
"1959",5,78
"1959",21,81
"1959",20,84
"1959",7,87
"1959",18,90
"1959",5,93
"1959",12,96
"1959",9,99
"1959",8,102
"1959",2,105
"1959",1,108
"1959",0,111
"1959",0,114
"1959",0,117
"1959",0,120
"1959",0,123
"1959",0,126
"1959",0,129
"1959",0,132
"1959",0,135
"1959",0,138
"1959",0,141
"1959",0,144
"1959",0,147
"1959",0,150
"1959",0,153
"1959",0,156
"1959",0,159
"1959",0,162
"1960",0,60
"1960",0,63
"1960",0,66
"1960",0,69
"1960",1,72
"1960",2,75
"1960",7,78
"1960",22,81
"1960",14,84
"1960",6,87
"1960",20,90
"1960",5,93
"1960",10,96
"1960",14,99
"1960",12,102
"1960",2,105
"1960",1,108
"1960",0,111
"1960",0,114
"1960",0,117
"1960",0,120
"1960",1,123
"1960",0,126
"1960",0,129
"1960",0,132
"1960",0,135
"1960",0,138
"1960",0,141
"1960",0,144
"1960",0,147
"1960",0,150
"1960",0,153
"1960",0,156
"1960",0,159
"1960",0,162
"1961",0,60
"1961",0,63
"1961",0,66
"1961",0,69
"1961",0,72
"1961",2,75
"1961",6,78
"1961",18,81
"1961",11,84
"1961",5,87
"1961",16,90
"1961",9,93
"1961",14,96
"1961",10,99
"1961",9,102
"1961",2,105
"1961",1,108
"1961",0,111
"1961",0,114
"1961",0,117
"1961",0,120
"1961",1,123
"1961",0,126
"1961",0,129
"1961",0,132
"1961",0,135
"1961",0,138
"1961",0,141
"1961",0,144
"1961",0,147
"1961",0,150
"1961",0,153
"1961",0,156
"1961",0,159
"1961",0,162
"1962",0,60
"1962",0,63
"1962",0,66
"1962",0,69
"1962",1,72
"1962",6,75
"1962",14,78
"1962",20,81
"1962",9,84
"1962",4,87
"1962",15,90
"1962",12,93
"1962",14,96
"1962",14,99
"1962",10,102
"1962",4,105
"1962",1,108
"1962",0,111
"1962",0,114
"1962",0,117
"1962",0,120
"1962",1,123
"1962",0,126
"1962",0,129
"1962",0,132
"1962",0,135
"1962",0,138
"1962",0,141
"1962",0,144
"1962",0,147
"1962",0,150
"1962",0,153
"1962",0,156
"1962",0,159
"1962",0,162
"1963",0,60
"1963",0,63
"1963",0,66
"1963",0,69
"1963",0,72
"1963",5,75
"1963",10,78
"1963",16,81
"1963",14,84
"1963",8,87
"1963",18,90
"1963",13,93
"1963",13,96
"1963",15,99
"1963",17,102
"1963",1,105
"1963",2,108
"1963",0,111
"1963",0,114
"1963",0,117
"1963",0,120
"1963",1,123
"1963",0,126
"1963",0,129
"1963",0,132
"1963",0,135
"1963",0,138
"1963",0,141
"1963",0,144
"1963",0,147
"1963",0,150
"1963",0,153
"1963",0,156
"1963",0,159
"1963",0,162
"1964",0,60
"1964",0,63
"1964",0,66
"1964",0,69
"1964",0,72
"1964",2,75
